graph,"metric dimension",time
"F?AFo",4,0.042123888997593895
"F?AFw",4,0.046912466998037416
"F?aN_",3,0.013770088000455871
"F?aNo",3,0.013562972002546303
"F?aNw",4,0.020951473001332488
"F?bao",2,0.005481913001858629
"F?baw",2,0.006520478003949393
"F?bB_",2,0.0063340380002046
"F?bbo",2,0.007100811999407597
"F?bBo",2,0.007154801998694893
"F?bbw",2,0.007369067003310192
"F?Bco",2,0.006022633999236859
"F?bcw",2,0.007086540994350798
"F?Bcw",2,0.00711122000211617
"F?bDg",2,0.006382430001394823
"F?bDo",2,0.006222503005119506
"F?BDo",3,0.035134224002831616
"F?BDw",3,0.0339179709990276
"F?beg",2,0.006499811002868228
"F?beo",2,0.006979773999773897
"F?Beo",3,0.013046017003944144
"F?bew",2,0.00735455600079149
"F?Bew",3,0.007821013998182025
"F?bf_",3,0.01319134299410507
"F?bF_",3,0.014510325003357138
"F?bFg",3,0.012482097998145036
"F?bfg",3,0.012950265001563821
"F?bfo",3,0.013095792004605755
"F?bFo",3,0.014061545000004116
"F?Bfo",4,0.02101728400157299
"F?BFo",4,0.09383675699791638
"F?bfw",3,0.013230985001428053
"F?bFw",3,0.016398334002587944
"F?Bfw",4,0.02128765499946894
"F?BFw",4,0.09388106000551488
"F?bLo",2,0.0069958890017005615
"F?bLw",3,0.014810016000410542
"F?bmo",2,0.006863891001557931
"F?bmw",3,0.011950439999054652
"F?bN_",2,0.010744707004050724
"F?bNg",3,0.012911138001072686
"F?bNo",3,0.014550683001289144
"F?bno",3,0.01481792100094026
"F?bnw",3,0.01338525900064269
"F?bNw",3,0.016563060002226848
"F?b~o",4,0.0206473520011059
"F?B~o",5,0.015312570001697168
"F?bro",3,0.0138757809982053
"F?brw",3,0.013978210001369007
"F?bv_",4,0.020207995003147516
"F?bvg",4,0.020789165995665826
"F?bvO",2,0.0075519020028878
"F?BvO",3,0.013879140999051742
"F?bvo",3,0.01456494699959876
"F?Bvo",4,0.02096112200524658
"F?bvW",2,0.00798407499678433
"F?BvW",3,0.008364582005015109
"F?bvw",3,0.014717707999807317
"F?Bvw",4,0.02168618699943181
"F?B@w",3,0.038339521997841075
"F?b~w",4,0.020732285993290134
"F?B~w",5,0.027703922001819592
"FCdcg",2,0.007113485997251701
"FCdcw",3,0.013786082003207412
"FCde_",2,0.006084208995162044
"FCdeg",2,0.006828479003161192
"FCdeG",2,0.006980505997489672
"FCdeo",3,0.012830173996917438
"FCdew",3,0.013341993995709345
"FCdf_",2,0.007016076000581961
"FCdfg",2,0.007092405998264439
"FCdfG",2,0.007273538001754787
"FCdfo",3,0.014520058000925928
"FCdfw",3,0.01407307799672708
"FCe^o",3,0.013946949002274778
"FCe^w",4,0.021435618997202255
"FCf^o",3,0.013538289000280201
"FCf~o",4,0.02117778600222664
"FCfuw",3,0.012608812001417391
"FCfvg",3,0.01357928299694322
"FCfvo",3,0.0136547750007594
"FCfvW",3,0.012896594002086204
