('G???F{', 6, 0.10603390399774071)
('G??CFw', 5, 0.08714028699614573)
('G??CF{', 5, 0.09982584999670507)
('G??E@{', 4, 0.07420741299574729)
('G??EDw', 4, 0.06467662499926519)
('G??ED{', 4, 0.0625642289960524)
('G??EFw', 5, 0.07787820199882844)
('G??EF{', 5, 0.07388039400393609)
('G??F?{', 4, 0.03294639300293056)
('G??FCw', 3, 0.01833206099399831)
('G??FC{', 3, 0.0187214259931352)
('G??FEw', 4, 0.030572850002499763)
('G??FE{', 4, 0.03177665999828605)
('G??FFw', 5, 0.04591989100299543)
('G??FF{', 5, 0.04938618499727454)
('G??FeW', 3, 0.017873523000162095)
('G??Fe[', 3, 0.017895561999466736)
('G??FfW', 4, 0.030946639999456238)
('G??Ff[', 4, 0.031077979001565836)
('G??Ffw', 5, 0.0466853350008023)
('G??Ff{', 5, 0.04675023399613565)
('G??Fvg', 4, 0.032936947005509865)
('G??Fvk', 4, 0.04376222300197696)
('G??Fvw', 5, 0.04701087799912784)
('G??Fv{', 5, 0.045792542994604446)
('G??F~w', 6, 0.0547406800033059)
('G??F~{', 6, 0.05943157499859808)
('G?AAFo', 4, 0.031278908005333506)
('G?AAFw', 4, 0.032223369998973794)
('G?AAF{', 4, 0.032385934006015304)
('G?ABCs', 3, 0.017781562004529405)
('G?ABC{', 3, 0.018666431002202444)
('G?ABEo', 3, 0.01648537899745861)
('G?ABEs', 3, 0.016475794996949844)
('G?ABEw', 3, 0.01716012099495856)
('G?ABE{', 3, 0.017553117002535146)
('G?ABFo', 4, 0.03142950700566871)
('G?ABFs', 4, 0.031208355001581367)
('G?ABFw', 4, 0.03849435000302037)
('G?ABF{', 4, 0.02322254799946677)
('G?ABc[', 3, 0.01784950200089952)
('G?ABeO', 2, 0.012195600000268314)
('G?ABeS', 2, 0.008482869998260867)
('G?ABeW', 2, 0.01744235400110483)
('G?ABe[', 2, 0.01650223100295989)
('G?ABfO', 3, 0.01607668899669079)
('G?ABfS', 3, 0.016610810002021026)
('G?ABfW', 3, 0.012419284001225606)
('G?ABf[', 3, 0.017548534997331444)
('G?ABfo', 4, 0.03059952899639029)
('G?ABfs', 4, 0.031422022002516314)
('G?ABfw', 4, 0.03160489199945005)
('G?ABf{', 4, 0.03181987800053321)
('G?ABvG', 3, 0.018162830994697288)
('G?ABvK', 3, 0.01831359700008761)
('G?ABv_', 3, 0.018099668996001128)
('G?ABvc', 3, 0.01814982499490725)
('G?ABvg', 3, 0.01867959799710661)
('G?ABvk', 3, 0.018526264000684023)
('G?ABvo', 4, 0.026951179999741726)
('G?ABvs', 4, 0.031999988001189195)
('G?ABvw', 4, 0.0333093680019374)
('G?ABv{', 4, 0.03290655499586137)
('G?ACNo', 4, 0.03328510100254789)
('G?ACNw', 4, 0.032852866999746766)
('G?ACN{', 5, 0.050216463998367544)
('G?AEBo', 3, 0.02051540200045565)
('G?AEBw', 3, 0.018896221998147666)
('G?AEDo', 3, 0.01827061099902494)
('G?AEDs', 3, 0.017932201000803616)
('G?AEDw', 3, 0.01737305500137154)
('G?AEFo', 4, 0.03460268500202801)
('G?AEFs', 4, 0.030706908997672144)
('G?AEFw', 4, 0.033253594003326725)
('G?AEF{', 4, 0.032734923996031284)
('G?AEJo', 3, 0.01866964399960125)
('G?AEJs', 3, 0.019492041996272746)
('G?AELo', 3, 0.022992083999270108)
