graph,"metric dimension",time
"G]~~~{",5,0.03435854200506583
"G^~~~{",6,0.035255966999102384
"G?~~~{",6,0.05747806699946523
"G~~~~{",7,0.034047008004563395
"G?AAF{",4,0.032385934006015304
"G?AAFo",4,0.031278908005333506
"G?AAFw",4,0.032223369998973794
"G?ABc[",3,0.01784950200089952
"G?ABC{",3,0.018666431002202444
"G?ABCs",3,0.017781562004529405
"G?ABe[",2,0.01650223100295989
"G?ABE{",3,0.017553117002535146
"G?ABeO",2,0.012195600000268314
"G?ABEo",3,0.01648537899745861
"G?ABeS",2,0.008482869998260867
"G?ABEs",3,0.016475794996949844
"G?ABeW",2,0.01744235400110483
"G?ABEw",3,0.01716012099495856
"G?ABf[",3,0.017548534997331444
"G?ABF{",4,0.02322254799946677
"G?ABf{",4,0.03181987800053321
"G?ABfO",3,0.01607668899669079
"G?ABfo",4,0.03059952899639029
"G?ABFo",4,0.03142950700566871
"G?ABfS",3,0.016610810002021026
"G?ABFs",4,0.031208355001581367
"G?ABfs",4,0.031422022002516314
"G?ABfW",3,0.012419284001225606
"G?ABfw",4,0.03160489199945005
"G?ABFw",4,0.03849435000302037
"G?ABv_",3,0.018099668996001128
"G?ABv{",4,0.03290655499586137
"G?ABvc",3,0.01814982499490725
"G?ABvG",3,0.018162830994697288
"G?ABvg",3,0.01867959799710661
"G?ABvK",3,0.01831359700008761
"G?ABvk",3,0.018526264000684023
"G?ABvo",4,0.026951179999741726
"G?ABvs",4,0.031999988001189195
"G?ABvw",4,0.0333093680019374
"G?`ac[",2,0.008709802001249045
"G?`acg",2,0.006651804003922734
"G?`acK",2,0.008287993005069438
"G?ACN{",5,0.050216463998367544
"G?ACNo",4,0.03328510100254789
"G?ACNw",4,0.032852866999746766
"G?`acw",2,0.008199212999898009
"G?`acW",2,0.00835973299399484
"G?`ad?",1,0.003484460001345724
"G?`ad[",2,0.010062784000183456
"G?`ad_",2,0.01298133499949472
"G?`ad{",3,0.019157765003910754
"G?`adG",2,0.006363758002407849
"G?`adg",2,0.007738521999272052
"G?`adK",2,0.007903199002612382
"G?`adk",2,0.009364213998196647
"G?`adO",2,0.007067062993883155
"G?`ado",2,0.01068520599801559
"G?`adW",2,0.007885495004302356
"G?`adw",2,0.008775804002652876
"G?`ae[",2,0.008475003996863961
"G?AEBo",3,0.02051540200045565
"G?AEBw",3,0.018896221998147666
"G?AEDo",3,0.01827061099902494
"G?AEDs",3,0.017932201000803616
"G?AEDw",3,0.01737305500137154
"G?AEF{",4,0.032734923996031284
"G?AEFo",4,0.03460268500202801
"G?AEFs",4,0.030706908997672144
"G?AEFw",4,0.033253594003326725
"G?`aeG",2,0.006113477000326384
"G?`aeg",2,0.00750880800478626
"G?AEJo",3,0.01866964399960125
"G?AEJs",3,0.019492041996272746
"G?`aeK",2,0.007948552003654186
"G?AEL{",4,0.031166132001089863
"G?AELo",3,0.022992083999270108
"G?AELs",3,0.018580698997539002
"G?AELw",3,0.01982295299967518
"G?AEN{",4,0.03344250399823068
"G?AENo",3,0.019135043003188912
"G?AENs",4,0.031823807999899145
"G?AENw",4,0.03210974799731048
"G?`aeO",2,0.009177931999147404
"G?`aeW",2,0.007856197997170966
"G?`aew",2,0.008530487997632008
"G?`af?",2,0.008358020000741817
"G?`af_",2,0.009001385995361488
"G?`af[",3,0.016978230996755883
"G?AF?{",3,0.01820621799561195
"G?`af{",3,0.02078775700647384
"G?AF~{",5,0.04596363900054712
"G?AFA{",3,0.01664290799817536
"G?AFAw",2,0.008339102001627907
"G?AFb[",3,0.0166946960016503
"G?AFB{",3,0.019255734005128033
"G?AFb{",3,0.01989437799784355
"G?AFBo",3,0.016791597998235375
"G?AFBs",3,0.01750821200403152
"G?AFbW",3,0.015611540002282709
"G?AFBw",3,0.018690830998821184
"G?AFbw",3,0.019409109001571778
"G?AFC{",3,0.01805272600176977
"G?AFCs",2,0.009079775998543482
"G?AFCw",2,0.008869821998814587
"G?AFe[",3,0.017315552999207284
"G?AFE{",3,0.018227529006253462
"G?AFEo",3,0.01670928700332297
"G?AFEs",3,0.016196661999856587
"G?AFeW",2,0.009736908003105782
"G?AFEw",3,0.016988315001071896
"G?AFf[",3,0.01873866300593363
"G?AFF{",4,0.03196037500310922
"G?AFf{",4,0.03256954099924769
"G?AFfO",3,0.018457710000802763
"G?AFFo",4,0.030915114999515936
"G?AFfo",4,0.03276071700383909
"G?AFfS",3,0.01861017999908654
"G?AFFs",4,0.031244213998434134
"G?AFfs",4,0.03291348300263053
"G?AFfW",3,0.01786075699783396
"G?AFFw",4,0.030849628994474187
"G?AFfw",4,0.03281168299872661
"G?`afG",2,0.007550426002126187
"G?`afg",2,0.010567439996520989
"G?`afK",2,0.008787642000243068
"G?`afk",3,0.01779782000085106
"G?AFK{",3,0.018173914999351837
"G?AFKw",3,0.018419726999127306
"G?AFM{",3,0.01746464899770217
"G?AFMw",3,0.017664690996753052
"G?AFn[",3,0.018402455003524665
"G?AFn{",4,0.032798789005028084
"G?AFN{",4,0.033540623997396324
"G?AFNo",3,0.019502592003846075
"G?AFNs",3,0.019195473003492225
"G?AFnW",3,0.018164709996199235
"G?AFNw",4,0.031344417002401315
"G?AFnw",4,0.03610012300487142
"G?`afO",2,0.008892277997802012
"G?`afo",3,0.017087101005017757
"G?AFr{",4,0.03321569700347027
"G?AFrw",4,0.03246723399934126
"G?AFv{",4,0.034926519001601264
"G?AFvg",3,0.02155375899747014
"G?AFvk",3,0.01960547099588439
"G?AFvo",5,0.045534263997978996
"G?AFvs",5,0.04688734699448105
"G?AFvw",4,0.035320499999215826
"G?`afW",2,0.008681323000928387
"G?AF?w",2,0.008778758005064446
"G?`afw",3,0.017603641994355712
"G?AF~w",5,0.046470347995636985
"G?aJC{",3,0.01827371699619107
"G?aJc[",4,0.032963789999485016
"G?aJCc",2,0.008659321996674407
"G?aJCs",2,0.008967920999566559
"G?aJE{",3,0.018381469999440014
"G?aJe[",3,0.019132301000354346
"G?aJEc",2,0.008519810005964246
"G?aJEo",2,0.008052050005062483
"G?aJeO",2,0.008854768995661288
"G?aJEs",2,0.008566419004637282
"G?aJeS",2,0.008593193000706378
"G?aJEw",3,0.017462729003455024
"G?aJeW",3,0.019192494997696485
"G?aJF_",3,0.01786942699982319
"G?aJf_",3,0.01882676300010644
"G?aJf[",3,0.018943641996884253
"G?aJF{",4,0.03188647099887021
"G?aJf{",4,0.033417715996620245
"G?aJfC",2,0.008765670994762331
"G?aJFc",3,0.018285505000676494
"G?aJfc",3,0.019236414002079982
"G?aJfO",2,0.008637833001557738
"G?aJFo",3,0.018571515996882226
"G?aJfo",3,0.018584003002615646
"G?aJfS",2,0.00848552500247024
"G?aJFs",3,0.017927929999132175
"G?aJfs",3,0.019051355004194193
"G?aJfW",3,0.01901537199591985
"G?aJFw",4,0.032669196007191204
"G?aJfw",4,0.034121738994144835
"G?`ak[",2,0.00879809199977899
"G?aK^{",5,0.0463189060028526
"G?aK^o",4,0.03184727900224971
"G?`akw",2,0.008927997005230282
"G?aK^w",4,0.0341327319983975
"G?`al[",2,0.008765999002207536
"G?`al{",3,0.0167729840031825
"G?`alg",2,0.00857274400186725
"G?`alk",2,0.00607933099672664
"G?`alK",2,0.008857802000420634
"G?`alo",2,0.012578570996993221
"G?`alW",2,0.013626651998492889
"G?`alw",3,0.018055841006571427
"G?`am[",3,0.01803981000557542
"G?aM\\{",4,0.03179253500275081
"G?aM^{",4,0.03351747099804925
"G?`amg",2,0.009310350003943313
"G?`amK",3,0.01611150499957148
"G?aM^o",3,0.017980796001211274
"G?aM^s",3,0.019127043000480626
"G?`amw",2,0.008909824005968403
"G?`amW",2,0.011218250998354051
"G?aM\\w",3,0.019933857998694293
"G?aM^w",4,0.032652291003614664
"G?`an_",2,0.008778183997492306
"G?`an[",3,0.017766101002052892
"G?`an{",3,0.019578004998038523
"G?aN]{",4,0.029561937000835314
"G?aN^{",4,0.0331873760005692
"G?aN~{",5,0.045719627996732015
"G?aNb[",3,0.017164345998025965
"G?aNb{",4,0.030840737003018148
"G?aNbo",3,0.018960497000080068
"G?aNbs",3,0.024127811993821524
"G?aNbW",3,0.017314468997938093
"G?aNbw",4,0.030836288002319634
"G?aNe[",3,0.019264326001575682
"G?aNf[",3,0.01754120299301576
"G?aNf{",4,0.03452175499842269
"G?aNfc",4,0.03263033700204687
"G?aNfo",3,0.019576374004827812
"G?aNfS",2,0.009046461993420962
"G?aNfs",3,0.019785748001595493
"G?aNfW",3,0.018330011997022666
"G?aNfw",4,0.033090167002228554
"G?`anG",2,0.008935971003666054
"G?`ang",2,0.00928459699935047
"G?`anK",3,0.015354677998402622
"G?`ank",3,0.017480516995419748
"G?`anO",2,0.008138995995977893
"G?`ano",3,0.01781885200034594
"G?aNS{",3,0.01843727900268277
"G?aNU{",3,0.01707174699549796
"G?aNUk",2,0.00894016300298972
"G?aNUs",3,0.01653257200086955
"G?aNUw",3,0.016206177999265492
"G?aNV{",3,0.019815111001662444
"G?aNv[",3,0.019913724005164113
"G?aNv{",4,0.033048147000954486
"G?aNVg",3,0.01776292300201021
"G?aNvg",4,0.03143193199503003
"G?aNVk",3,0.018302474003576208
"G?aNvk",4,0.031458589000976644
"G?aNVo",3,0.018941996000648942
"G?aNvo",4,0.032538075000047684
"G?aNVs",3,0.01863564499944914
"G?aNvs",4,0.033008282000082545
"G?aNvW",3,0.01887434699892765
"G?aNVw",3,0.01952975099993637
"G?aNvw",4,0.032108211002196185
"G?`anW",2,0.008646684000268579
"G?aN]w",3,0.018334439002501313
"G?`anw",3,0.018933225997898262
"G?aN^w",4,0.033228896994842216
"G?aN~w",5,0.04610008299641777
"G?B@_[",2,0.008723389000806492
"G?B@~_",3,0.01805827500356827
"G?B@|{",3,0.019817913002043497
"G?B@~{",4,0.03170329199929256
"G?b~~{",5,0.047328699998615775
"G?B~~{",6,0.054711197000870015
"G?ba}[",2,0.00978752999799326
"G?ba|{",3,0.018993621997651644
"G?ba~[",3,0.019318305006891023
"G?ba~{",3,0.02180004900583299
"G?ba|[",3,0.02422408600250492
"G?ba~g",3,0.017891009003506042
"G?ba~k",3,0.019714656002179254
"G?ba~o",3,0.019163327997375745
"G?bapk",2,0.01641366999683669
"G?barg",2,0.011978303999057971
"G?barK",2,0.01028704099735478
"G?bark",2,0.01134048200037796
"G?barw",2,0.011472728998342063
"G?b@aS",2,0.008233372995164245
"G?bas[",2,0.010348853000323288
"G?bask",3,0.013757626002188772
"G?bat[",3,0.014382011999259703
"G?bat{",3,0.021181515003263485
"G?batg",3,0.013603747996967286
"G?batK",2,0.009159080000245012
